2; 285
3; 330
4; 345
5; 360
6; 390
7; 435
8; 480
9; 495
10; 540
11; 570
12; 615
13; 630
14; 675
15; 705
16; 735
17; 765
18; 795
19; 810
20; 840
21; 870
22; 885
23; 900
24; 945
25; 990
26; 1035
27; 1080
28; 1110
29; 1140
30; 1155
31; 1170
32; 1215
33; 1260
34; 1305
35; 1320
36; 1365
37; 1410
38; 1455
39; 1500
40; 1515
41; 1560
42; 1590
43; 1635
44; 1650
45; 1695
46; 1740
47; 1785
48; 1800
49; 1815
50; 1830
51; 1860
52; 1905
53; 1920
54; 1965
55; 2010
56; 2055
57; 2085
58; 2130
59; 2160
60; 2175
61; 2220
62; 2250
63; 2280
64; 2295
65; 2340
66; 2385
67; 2415
68; 2430
69; 2460
70; 2475
71; 2490
72; 2505
73; 2520
74; 2565
75; 2580
76; 2610
77; 2640
78; 2655
79; 2685
80; 2715
81; 2760
82; 2775
83; 2805
84; 2850
85; 2865
86; 2880
87; 2925
88; 2955
89; 2985
90; 3000
91; 3045
92; 3090
93; 3105
94; 3150
95; 3195
96; 3240
97; 3270
98; 3315
99; 3360
