2; 6; 10; 12; 167; 24 
2; 6; 22; 4; 226; 8 
2; 22; 14; 6; 211; 12 
2; 18; 18; 12; 160; 24 
2; 30; 18; 2; 203; 4 
3; 15; 3; 6; 215; 18 
3; 72; 3; 15; 183; 45 
3; 54; 33; 18; 182; 54 
3; 69; 33; 3; 171; 9 
4; 112; 72; 20; 213; 80 
4; 36; 44; 12; 172; 48 
4; 152; 84; 8; 209; 32 
5; 130; 170; 30; 202; 150 
5; 155; 85; 35; 154; 175 
5; 250; 5; 55; 239; 275 
6; 306; 6; 36; 180; 216 
6; 312; 84; 66; 182; 396 
7; 469; 252; 7; 249; 49 
7; 301; 273; 28; 191; 196 
2; 32; 28; 20; 320; 200 
2; 36; 32; 22; 360; 220 
2; 26; 30; 20; 260; 200 
2; 26; 40; 32; 260; 320 
2; 28; 20; 34; 280; 340 
2; 24; 32; 38; 240; 380 
3; 69; 66; 51; 690; 510 
3; 45; 69; 84; 450; 840 
3; 57; 87; 54; 570; 540 
3; 75; 51; 69; 750; 690 
3; 60; 90; 84; 600; 840 
3; 81; 72; 57; 810; 570 
3; 84; 51; 72; 840; 720 
3; 84; 51; 63; 840; 630 
3; 45; 78; 66; 450; 660 
3; 75; 81; 75; 750; 750 
3; 90; 72; 72; 900; 720 
3; 87; 45; 78; 870; 780 
